序号,日期,开盘,收盘,涨跌额,涨跌幅(%),最低,最高,成交量(手),成交金额(万),量比,换手率,股票代码,市场,次日日期,次日收盘,次日开盘价,次日最低价,次日最高价
1,20231030,36.0,36.0,-4.0,-10.0,36.0,36.6,52355.0,18851.1209,0.14,9.97,'603273',sh,20231031,33.25,32.4,32.4,37.69
2,20231031,32.4,33.25,-2.75,-7.64,32.4,37.69,319582.0,108640.0153,0.99,60.87,'603273',sh,,,,,
